transaction_amount_usd,account_balance,outbound_transfers,unique_address_sent,ether_sent_out,ether_recv_in
3359971.9403641117,1212986.260059246,0,0,0.0,1212986.260059246
513919.02328713646,1847454.1900433651,0,0,0.0,634467.929984119
261353.95737188892,2055833.2880442766,0,0,72400.90576,280780.11771552556
400681.4825328946,2435531.819019015,0,0,104769.40177,484468.0725430802
191584.28292310605,2467277.05902565,0,0,74497.27955,106242.6100001
359295.83019745466,2566593.5194084495,0,0,94060.06758,193376.5965779637
879899.6649863455,2691042.542201037,0,0,184938.21095,309387.44353671087
1576887.8751678497,3191201.6140202372,0,0,187944.7477886906,688104.0717490036
836606.3192521634,3243410.5770042874,0,0,207584.3559844488,259793.476
521682.9151735184,3458210.528945793,0,0,82995.1972497192,297795.25178204605
268009.73845808516,3408771.604111945,0,0,136390.137075071,86951.31164
210977.62508050082,3488420.392624301,0,0,43237.6274282902,122886.48680832461
256156.60555909897,3417726.727035946,0,0,136996.2512388114,66302.6420620608
103568.35804339763,3414429.0357679715,0,0,36638.137299593,33340.483
246999.6692885219,3414499.767761405,0,0,85728.3501170291,85799.198
103892.86486883051,3381973.1225826456,0,0,53634.8282509572,21108.24
128885.44316794997,3390742.289491281,0,0,43350.7286429259,52119.97
133117.21972378125,3326103.9060890195,0,0,85995.4495514365,21357.147
80488.29667878615,3346861.2728883126,0,0,24017.998084916,44775.417879858505
131750.00417224673,3340180.0394788785,0,0,60129.389803661,53448.2
59842.253259935125,3336851.0379574,0,0,28143.3462477302,24814.4
84131.59057128099,3300357.686522057,0,0,50604.9481317546,14111.66
29147.416787749236,3299167.4886351563,0,0,12945.6806675841,11755.52
81449.55557660025,3261650.840200725,0,0,49610.4087701517,12093.8
117363.78730345759,3197042.394689971,0,0,75772.2587433019,11163.88
124291.5956508722,3221170.1473945263,0,0,33970.0286302757,58097.82
55119.96546438256,3178610.968118407,0,0,42643.9068971538,84.74850159237235
13838.172017039999,3174554.5172144067,0,0,7519.556204,3463.12
103408.7620931639,3248108.4223210616,0,0,3935.1505838309,77489.0715367706
34477.83906889147,3236844.9470313597,0,0,18214.8758897018,6951.43
52052.26797921267,3251983.2567435037,0,0,12450.9361378559,27589.27
53385.067852747285,3258687.603661508,0,0,18174.0515033962,24878.4225714
117487.75494330205,3303640.1743076034,0,0,25282.9499539041,70235.55
1194733.0042593223,4225962.558859403,0,0,32530.1181482002,954852.53
51881.36091080985,4181754.436323356,0,0,44466.6989606085,258.6121694
117563.67231964313,4084228.3766110577,0,0,108744.4727503548,11218.45818805656
33232.70757198714,4102463.836449532,0,0,6859.5265115261,25095.0
18766.296612938033,4086035.666905419,0,0,18196.1464135128,1767.9989194
46325.241128801885,4068902.607609095,0,0,35190.213596324,18057.19
103558.43367315378,4065611.940148293,0,0,56729.5964608019,53438.95
55400.090721246,4085574.268041353,0,0,20796.65635694,40759.0
27235.959138340797,4063882.3921123184,0,0,26147.0212790346,4455.18
59406.863250575385,4017427.888375867,0,0,58172.4555700347,11717.971783583404
11716.155378067999,4024529.841499948,0,0,3031.1295259191,10133.09
3697.2776347155236,4027023.9653204633,0,0,719.5740794846,3213.7
27105.764103973983,4047255.1149493814,0,0,4943.1756710822,25174.34
18748.51396288731,4035949.8917683954,0,0,16068.4421809859,4763.24
9799.721694359661,4027465.032652795,0,0,9686.713088,1201.8665723996237
117035.75730536504,4010329.2246628655,0,0,80812.1796716803,63676.40959420248
128288.42358240711,3863790.1881920453,0,0,159950.8445708204,13411.89
43231.96265609091,3832102.292886123,0,0,43556.7231488345,11868.87
70107.5317975429,3752856.7631309377,0,0,88308.5319410318,9063.04
70052.1880125336,3766022.396975796,0,0,52783.4220551417,65949.1
27495.28131570715,3757439.340846815,0,0,24508.6372289811,15925.6
25962.430042029602,3763160.597632885,0,0,15168.83061393,20890.1
66104.68297519085,3675078.079319642,0,0,92647.610622203,4565.15845896
23464.804514024,3676423.856838676,0,0,16580.6354618,17926.43
2503.5849255000003,3673918.058105174,0,0,3067.08395,561.3
393.9690915837601,3674042.034035646,0,0,232.013569528,356.0
22433.603103160203,3638953.121321106,0,0,35348.89381454,260.0
58235.8704641604,3604356.934001166,0,0,61416.16736994,26820.0
18947.6273498,3613544.507771166,0,0,10937.04418,20124.64
37827.774194384,3654574.960347966,0,0,9991.0390232,51021.5
42234.99662425726,3665764.1025144933,0,0,26893.8778834727,38083.04
9330.97137777,3655829.0273854933,0,0,12373.065679,2438.0
10304.4225739581,3643914.7937276233,0,0,14135.22630787,2221.0
81584.2617706053,3651955.960270313,0,0,60728.82820731,68770.0
39540.30829052724,3613515.8307027677,0,0,52170.3138175454,13730.2
94821.44242511832,3508495.2064907714,0,0,145472.4969119967,40451.9
29132.901607600004,3512440.1531888717,0,0,24039.038585,27984.0
42691.09707492,3445170.500824872,0,0,73909.439764,6639.8
18719.869412524502,3453142.3440805306,0,0,13032.12620459,21004.0
8106.278419200001,3451936.771932159,0,0,8397.27696,7191.72
48691.768876589995,3353518.524541159,0,0,98894.596891,476.36
53753.20402235187,3272129.6477255514,0,0,101777.61954684,20388.75323123243
54427.70408820994,3324056.294002347,0,0,35886.3274732044,87813.0
80079.27101318998,3275919.4886754514,0,0,91932.1779884576,43795.4
72052.41972373905,3157431.395752876,0,0,128525.2056225751,10037.14
3807.5549562517417,3152290.5647173165,0,0,5910.36918072,769.5517951602487
12961.0665964455,3141829.0589160467,0,0,15200.78245607,4739.32
182106.12300014324,3008723.8501802874,0,0,189597.269995679,56492.08540992
187711.9671004302,3050178.0338056553,0,0,87153.3317246324,128607.55
229951.42626741214,2898728.56020957,0,0,189562.0411532853,38112.6383194
164825.68093462338,2887308.9346729536,0,0,76755.3342539857,65335.77
550610.3955232024,3097330.682111009,0,0,159705.6226184638,369727.45
12677.7130043124,3087231.846057849,0,0,12171.72135316,2072.9
10601.229788961,3080357.025125375,0,0,8485.60932282,1610.8
58191.806619984,3056949.591546225,0,0,42011.93522915,18604.53
51912.83119273,3010894.723191295,0,0,48983.83119273,2929.0
79116.61379887462,2964358.9868818857,0,0,68737.16962992,22201.466920510607
75712.4836020516,3013666.563318184,0,0,17881.29629444,67188.91
10680.743541540001,3005608.925818684,0,0,9833.5638495,1775.94
73813.30905915871,3001933.0450456855,0,0,41953.8576729986,38278.0
46220.4348188028,2987236.6659625457,0,0,30005.25178314,15308.9
52570.1685558126,2940372.464856733,0,0,49717.1685558126,2853.0
19937.2728857236,2932626.706566711,0,0,14708.34878883,6962.6
6888.868678925312,2928065.4103900897,0,0,6696.58377416,2135.299147539118
22050.65002878896,2916947.7465217877,0,0,17946.8312683022,6829.18
19522.6609607124,2913182.551306174,0,0,12850.37411316,9085.2
11407.22273978,2904574.236604174,0,0,10712.704202,2104.4
25149.127742505,2926120.7497847243,0,0,3198.47526945,24745.0
46483.9440014484,2917303.276127864,0,0,29134.22425686,20316.78
81912.63925347957,2872330.6076465556,0,0,63442.6377051941,18470.001548285472
14013.1441167795,2861923.7956195055,0,0,12280.74102705,1873.95
27945.483156183,2850333.6144603654,0,0,20503.22805914,8913.07
15217.3072249626,2834164.2038195455,0,0,16266.04594082,96.65
11572.8749790556,2822640.7438720656,0,0,11727.11894748,203.68
25310.10134353156,2796624.7730725775,0,0,26190.3240745,174.36482501204577
386385.3570994524,3095600.1829891177,0,0,56036.41223346,355011.84
23171.7976596652,3078392.0354773975,0,0,21335.81391172,4127.7
16920.4074712326,3068985.1252189875,0,0,14540.89240841,5134.0
582607.4061148,3727521.5241339877,0,0,1758.730585,660295.14
6821.1793398882,3719841.0755111277,0,0,7760.43602286,80.0
19179.4945604535,3737424.120512278,0,0,1746.65764885,19329.71
63619.545676522226,3664893.287837956,0,0,72828.36206324,297.5525074752113
47072.108939152,3641340.988116063,0,0,38521.65366185,14969.37922355
47353.0422508332,3590921.968013928,0,0,52423.88419636,2004.9
40946.909072455,3542178.314501028,0,0,49038.6253885,295.0
13751.727163173598,3525407.8867593477,0,0,16770.39897948,0.0
16367.888004459599,3516762.6837516576,0,0,14065.38095769,5420.2
15431.790325512999,3498854.498459878,0,0,18031.60744178,123.44
39793.91879371019,3543554.0605751327,0,0,1337.06918,46036.64366965499
118576.55235933601,3410190.1596759628,0,0,140792.28044917,7428.41
16969.3514304967,3400445.1401024726,0,0,15095.00172349,5350.0
11856.036934973601,3389768.172162633,0,0,12842.29168984,2165.35
58702.891296033595,3320115.7588625927,0,0,69768.39440004,116.0
60798.16524584375,3274641.7490005647,0,0,56142.5705998283,10668.6
175403.78468291,3183650.1471820646,0,0,135910.084003,44918.56
32720.760674879995,3174645.9478790644,0,0,21544.145703,12539.98
32418.5898157506,3143171.8702114266,0,0,32110.05031894,636.0
159179.39434449121,3203214.8632243066,0,0,48780.17073712,108823.19
1089330.502445361,4228588.201370407,0,0,37480.2408539,1062853.6
85544.51354675888,4243449.576332142,0,0,38071.69380584,52933.10783964818
27083.037757484803,4237929.977373819,0,0,17640.57995328,12121.0
5348.383397523,4232130.318654348,0,0,5871.14821947,71.5
12396.478754781,4218566.435521258,0,0,13668.86528309,105.0
26975.7041484779,4226483.631384491,0,0,11196.27994211,19113.5
7721.590535017199,4218263.980978018,0,0,8547.51141956,327.88
29573.172790173994,4183791.5298727765,0,0,34632.19798844,159.77
318.888788204,4183436.3581925365,0,0,365.16328024,10.0
4165.855992618,4179249.7413967364,0,0,4487.4702214,300.87
1704.3611814024998,4177509.796855737,0,0,1872.53080165,132.6
