transaction_amount_usd,account_balace,historic_usd_val,inbound_transfers,unique_address_recv,token_contracts_count,unique_incoming_address
192769764.36886904,65751.91864750277,143732379.12,5041,4542,42,2296
172630050.9277016,63619.15274813821,139602051.64,4820,4344,47,2352
556416008.9811716,40176.00925642474,89539066.56,7562,6764,45,2389
518340952.87409544,45525.178334932454,104798050.02,7596,6935,50,2433
455262209.19274414,54451.066702729644,125298438.60000001,7038,6330,48,2416
540192370.7037299,62144.39120311358,148104998.89,7880,7251,46,2409
470120459.44760484,33362.992845920635,82431948.2,9170,8318,49,2314
838107014.978478,57239.37320553184,144915783.11,6557,6046,46,2379
316445589.5805715,54947.9188985307,140469409.35,6029,5536,48,2372
355188958.2341499,46858.63056483098,122227926.31,6873,6338,49,2387
530207035.0930821,57789.14865521276,144947320.55,7502,6836,48,2413
673361681.7894167,56819.375957199205,154873709.44,6908,6358,48,2398
540022842.0596576,43887.06218962308,124166592.96000001,6459,5850,49,2398
468415225.03613895,52781.00750365379,152661674.85999998,7405,6770,48,2423
331516177.01995754,46075.035617786256,145709074.89,6952,6348,49,2455
269478417.49974144,27408.045999787875,82600998.64,6114,5608,47,2539
868276184.8813133,47747.05745728375,151116572.03,7053,6333,58,2489
489445610.43065697,46367.811708524445,145672363.01,7932,7147,57,2494
537510090.4410856,46520.707831264415,147388767.38,8979,8021,61,2449
340692324.64144963,35958.743605379146,109576719.80000001,8562,7800,59,2366
540609663.791633,36485.325545805026,121286708.30000001,8017,7317,69,2424
513464207.6788573,46233.61266177472,151031804.82,7120,6600,69,2404
211561623.30217052,38439.85075470851,127278958.63000001,6252,5768,61,2373
618016111.394844,39930.23041550545,125685591.16,7507,6905,69,2426
460277902.17391473,47153.76962294605,142025267.95,7944,7147,69,2399
411496176.51315826,45458.74711373601,136990843.6,7802,7032,57,2360
283456117.2821169,31091.25901838664,99017576.24,7560,6913,57,2448
599602438.6276531,30035.23664691647,98710805.24,8415,7710,57,2511
192500093.2670663,20157.516509157358,65040041.199999996,7395,6803,58,2444
326384257.51685095,35954.1356440333,116550723.8,6501,5896,59,2459
657138839.4515536,34236.90369231239,113759302.27,7871,7226,66,2523
885102214.6042395,34544.34092695135,109594339.68,8051,7308,61,2529
366350098.8340903,30795.28770543313,99433672.66,7120,6255,60,2490
435885379.9435866,27144.523643823453,83974841.24,7073,6294,58,2479
656448966.1911594,31389.16853965809,102826835.55000001,6351,5633,56,2451
197058488.25601926,16995.72842392958,55181391.14,5542,5067,59,2465
323673685.84478045,28714.567568038525,92613094.78,5137,4474,59,2420
650337196.0890039,35107.69527809729,113343789.89999999,6575,5983,59,2386
1184177703.1044567,30157.33388297931,103595568.64,7667,6972,60,2398
864186391.5682163,20239.676413303932,77501364.14000002,7671,6879,61,2420
1179169815.5674543,31812.250788908015,120495262.30000001,8119,7324,60,2534
775887035.066244,4339.162307391868,17095388.27,7586,6815,61,2502
840718878.8599638,25452.3847436396,98933674.03000002,7339,6519,58,2427
370953053.8000177,28005.909780753904,110688597.41,6764,5890,59,2409
417285849.8490702,46492.227779503206,182640067.61,7544,6766,62,2408
949391972.5186995,46528.008709572845,159752987.32999998,9246,7525,64,2364
1201194019.9341078,32456.867485156676,113588974.57,7881,6669,63,2433
499329433.79868275,33798.38810452993,115733792.49000001,6954,6264,62,2306
588296115.5203577,42451.28984185998,136243594.13,7969,7259,71,2448
194877589.62345564,35228.50198269385,115071435.73,7703,7126,72,2354
168338257.84661463,24533.576019692293,83544677.1,6326,5809,63,2364
492175033.5221721,13600.836784508896,44684189.16,6857,6005,63,2440
401720896.4663321,28246.86912491935,97057654.66,7741,6969,61,2466
853652847.294592,21037.844496067788,76056436.17999999,7442,6679,62,2473
528351534.7115194,1649.0073263581976,5885735.89,7554,6781,76,2524
1965309394.696099,25369.950332894237,86227894.59,7686,7051,68,2419
387566066.09884405,1002.3640444204842,3443882.29,6082,5584,64,2461
573837928.5956925,28324.86160619132,94289215.56000002,5562,5184,63,2467
623462851.5524557,17467.413914305613,51817258.05,7503,6455,64,2452
730922665.3685473,36160.757908201645,99810923.96,7463,6727,60,2343
664424945.52068,37665.74084462246,115968296.16999999,7085,6229,62,2295
437583111.34816605,36219.07691467327,114257424.42,6628,6027,60,2341
704606674.8781104,37326.03971143649,109397396.75,6708,5933,66,2324
171097053.3267997,34106.71754564581,99773745.1,5649,5137,69,2369
265009235.64987487,33780.98543603459,103512033.38,4868,4246,65,2359
476961324.74602276,28640.351186845022,83851215.37,5782,5327,61,2451
386958972.98694783,36973.11134275232,103799791.71,6090,5549,58,2441
348685295.46590036,39290.2618943342,112011428.93,5645,5251,57,2404
276730365.1721495,22921.63371574184,68783926.11,5884,5327,62,2339
516620879.748881,22376.246484085284,74079472.9,6803,6196,60,2480
250357649.4863171,12451.328726772535,42203529.7,6410,5933,61,2452
271079262.2236852,12983.226981974058,44404453.92,5728,5299,65,2412
499648612.9994513,17369.378888963733,58786662.85,6598,6117,61,2453
505541320.0553707,12049.273501309328,42366330.06,7671,7215,61,2439
734356432.0319356,30393.34816934968,108689044.51999998,7959,7370,61,2455
435855782.6680119,22525.164881251843,80824796.63,10011,9406,67,3291
587556883.937302,21391.712442264394,76215248.77000001,8801,8103,63,5074
151315372.55159652,16400.169739389854,58653567.05,7069,6550,62,5090
198725779.09829897,21219.592620806277,72496525.99,6307,5838,63,4858
409625461.75491405,31033.62691077274,109987518.47,7533,6833,65,4778
412442861.39632356,18711.435599689343,65314324.20999999,7814,7072,66,4833
571077692.7606609,22228.062334831353,80188846.28,6741,6186,66,4882
3598876100.816097,24941.83996639338,94560251.92999999,7406,6806,63,4959
652655634.3882437,18722.433837591772,72421369.67,9220,8251,63,5227
376928267.2251777,12678.162774818316,48552418.95,7516,6610,61,5136
434515222.5268317,26215.608584620313,100842532.91,6707,6091,62,5181
719448722.1225791,26371.894387599074,98792808.44999999,8022,7386,68,5248
566465520.5124049,28265.158049609698,109596737.08000001,8953,8168,71,5062
714842049.5269006,2541.2817222362073,10578059.76,8968,7989,71,4944
1166992086.8820949,19230.411438715644,78128546.38,9105,8084,73,5065
631297520.1566757,24379.348746419317,96833554.25,8148,7389,69,5120
359551418.3236573,24253.28864523197,101110990.24000001,7395,6899,71,5165
196333840.68198904,21759.28837534618,88823155.9,7650,7200,70,5148
516890869.0047968,25126.095227858932,106038654.64999999,9403,8657,69,5054
727556578.9231508,22772.78468072207,94050462.09,10150,9011,69,4890
1004265555.0653468,26968.247630353486,105831763.87,10716,9660,72,4967
821921203.5668865,22850.78876166947,97989209.39,12149,10982,75,6528
1283775771.212072,21149.817724851317,93427204.82,10274,9326,76,10517
318976188.390564,13696.766565753298,59223996.82,9219,8271,73,11158
506035528.32072216,17848.44123193809,76571597.72999999,8697,7562,71,11192
535701344.38022333,12927.192721063162,55881539.42,10751,9721,74,11258
1372211447.0275495,15824.992854193695,72686565.93,12798,11306,72,11289
1070016751.0721332,9823.507588156312,45231358.35,13638,12156,80,11309
686137863.4532228,9131.322819343397,41428720.33,12226,10852,78,10280
651420734.8010805,3477.0119174788315,15577326.32,10722,9936,78,10261
792612564.6500043,9058.520781501962,40957286.45,9195,8303,76,11452
239574896.25188258,387.40883051475095,1788716.9300000002,9288,8384,76,11469
835388733.4933293,4162.335850318578,20024872.9,11179,9946,80,11424
692279479.0733857,184.3917904028531,872554.8500000002,10667,9465,80,11368
842901137.855917,191.1324218193909,885512.69,11888,10405,81,11222
750082631.1857526,6556.378554118284,30963677.86,9412,8289,77,11198
815289856.0221229,16378.179846830151,76464808.26,9449,8419,80,11106
817130125.731401,12550.087338780006,58303187.73,7852,7013,74,11157
372956310.62904114,11233.756992995624,51984210.480000004,7628,6982,79,11085
667691476.2960297,9402.410505699028,42887967.25,9161,8475,81,10616
961228563.3544726,16839.432580265668,70896368.67999999,10860,9517,80,11080
715302438.3107228,7501.327580977002,32178820.000000004,10863,9518,81,11012
1038026783.4405301,2069.56140534857,8274458.33,10102,9043,82,11087
838891702.9049861,13580.372798548324,58385689.370000005,9390,8489,84,11022
452163407.1232796,19330.037831890895,85356034.65,8221,7655,82,11159
346581906.4705615,9470.577271701495,40388318.54,8031,7399,82,11100
723388500.0446498,19566.780851824115,80037134.4,9412,8646,86,11077
729505741.3098066,6978.174548455159,30293441.990000002,10229,9337,84,11057
831402029.2964468,20696.981041493786,88416675.13000001,22062,20923,91,10802
398788347.39723873,13587.722341163884,61468138.330000006,10472,9329,81,11017
962086805.7506673,23295.67928970793,94173948.31,11542,9984,86,11015
349193387.6728835,15226.52015104899,62433300.58,8409,7439,85,11012
288506813.0553337,12567.212968808171,54012875.97,8023,6928,85,11066
688192987.6077214,8692.948179790379,38670493.06,9781,8743,82,11168
1598472951.2952607,5769.690842061697,26785097.36,9744,8956,87,11105
1284994251.889871,5034.850999290446,23062487.44,10318,9269,83,11026
919435130.2268828,10321.257827558527,46598414.839999996,10077,9118,86,10836
1372251387.8315217,7306.156567428613,30827012.53,10449,9420,81,10730
2515186834.0328293,21755.406028792066,89724950.85999998,10920,8493,77,10653
1123525029.5994546,22178.438480615157,93173616.11,7708,6602,81,10862
1629151409.5701952,20574.11034387622,89644896.36,9924,8684,85,11033
616628752.9983023,1447.969789868271,6240315.41,10153,9200,85,11140
613953918.3903745,12371.844866959496,54930743.77,10275,9371,89,11054
