transaction_amount_usd,usd_eth,historic_usd_val,transaction_count_total,transaction_count_sent,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,ether_sent_out,ether_recv_in
14256018.034995688,321.85,3459863.09,2219,1818,1.0483890437744081,710,484,226,226,348,7,1099,19127.82211669,25166.159660522015
13422894.143356208,313.37,2277210.47,2402,2094,1.4901014366091168,990,646,344,344,471,12,1229,23663.28272771,19170.728643372768
12903933.817347124,317.4,2500470.62,3139,2625,1.962356351976794,1474,904,570,570,644,14,1451,20021.00847179,20634.107524892814
14847738.201911783,325.28,2311843.35,3181,2780,1.928820372610329,844,724,120,120,513,14,1774,23207.41599348,22438.60651608648
30148948.33540599,330.06,4450206.39,5924,4323,2.5739611614073437,1069,633,436,436,473,20,3255,42482.7430562,48861.09847384299
19121190.40074531,332.86,7182275.949999999,3709,2718,1.640643827301516,554,472,82,82,368,15,1961,24674.52862203,32770.61468370006
9791069.503745822,347.88,4353490.82,2569,2355,1.4544925955947838,529,457,72,72,358,15,1653,18603.31466441,9541.647689694351
10358937.225671444,347.66,4411059.5600000005,2811,2354,1.5609126957032475,727,542,185,185,434,15,1592,14810.55150195,14985.620694079005
12034266.216235865,372.35,4327080.27,3522,2423,1.7234857996198634,652,618,34,29,468,16,1534,16692.44916257,15627.320452673359
16850224.139717203,383.86,2325275.52,3022,2518,2.079198477456246,939,780,159,159,590,17,1571,24729.05291577,19167.743154977674
14355470.16655948,388.33,4573890.53,3637,2355,2.2527574755549655,581,516,65,65,369,12,1635,13987.40633738,22979.786942973
11066918.567924436,391.42,5621555.0,3258,2758,2.5509573580835094,1252,784,468,468,581,16,1739,14478.503911439999,13795.264848266801
7439895.676601084,351.03,2768715.62,2170,1971,1.7051686166182052,674,603,71,71,465,13,1155,12361.63060076,8832.84188478564
17826783.758232232,352.45,5975983.56,4423,3055,2.04323858667959,973,871,102,101,633,14,1473,20754.71101293,29824.89959348859
16962606.439089887,303.7,2413229.76,7238,5116,4.146209757557069,2279,1906,373,373,1483,13,2663,32429.236051,23423.929701683195
14255434.960661873,317.94,4566682.01,5081,3910,3.7473863514928243,2395,1878,517,509,1204,18,1665,20679.96458536,24156.90702771754
15205808.576810272,338.92,2878666.94,6988,6100,8.010910816147293,4066,2919,1147,1144,2339,22,2760,25363.58369718,19501.896583742553
12588074.334488824,335.37,5061394.08,6786,3917,5.882150465296419,2724,2269,455,455,1908,16,1478,15465.3398437,22069.54501329026
17985394.519682292,306.72,7056439.44,6470,5627,9.721772777400194,4119,3484,635,635,2753,16,1820,25356.97435063,33280.8533739471
5526911.089230303,303.79,3626277.9299999997,3246,3128,3.560773836719487,3022,2038,984,984,1662,17,952,14629.48568912,3563.710562337593
7165103.067842178,299.21,3639805.06,2682,2382,2.9670396967506933,1660,1502,158,157,1207,16,762,11857.92197659,12088.814656016457
3807959.166175694,297.95,1638364.69,2145,2001,1.7849921677170304,1556,1174,382,382,986,17,752,8193.3456014,4587.185246647305
6933112.119706253,294.1,2955911.41,3686,2573,2.2802222952180324,2071,1451,620,620,1174,16,1011,9509.90214867,14064.093498070064
3851252.535760085,275.84,2738232.0,1994,1782,1.5580383066807002,1107,1005,102,102,812,18,706,8571.07364251,5390.833752211887
3648477.4701403957,223.14,1867873.88,2170,1920,1.8594961214096601,1111,1045,66,66,865,18,772,8952.39270004,7398.22785270893
5368982.871022754,259.57,957360.98,2758,1998,2.416923994247696,1055,936,119,119,786,17,942,11162.22415855,9521.918350302158
3842857.3557702675,254.49,1048302.71,1678,1345,1.735919155545114,673,673,0,0,561,17,590,7333.76065754,7766.468647227446
2151121.061708144,258.4,386297.66,1074,995,1.3790891659221702,556,556,0,0,458,17,401,5473.8311724,2850.940738235233
3867084.666338675,297.53,2380208.55,2293,1120,1.0797322468054116,672,606,66,66,497,17,437,4765.57992588,8231.713343164049
2993836.2980907876,283.0,1295280.86,2242,1242,1.0006757119100418,625,613,12,12,502,19,573,5481.67190018,5097.25494819734
2660475.8471909673,283.56,2153727.29,1963,963,1.0865233052596637,812,512,300,300,421,18,415,3181.48615366,6200.922674069466
784896.9938203678,257.77,1172780.16,767,767,0.6478007591055085,453,451,2,2,372,20,298,3044.95090127,0.0
754989.0394380048,262.94,1239797.47,879,879,0.7576305838934875,841,540,301,301,448,19,317,2871.33581592,0.0
4517382.7317674095,286.14,3261785.35,1064,784,0.6427420107466306,466,465,1,1,382,20,306,3032.51633954,12754.80012012104
994033.08334728,282.6,2227176.83,876,876,0.7857128290941915,523,483,40,39,377,20,350,3517.4560628,0.0
1270155.631109669,294.89,1053632.3,994,994,0.8364646003077918,563,559,4,3,468,22,394,4307.21839028,0.0
4878682.157631753,288.64,1576749.68,1866,1744,1.5048144067363778,1084,1030,54,53,855,21,633,7505.54216553,9396.765753094422
6866413.189679944,309.97,3002344.75,2402,2214,1.8317834261416923,1477,1334,143,143,1052,23,742,8963.39874119,13188.464954264215
7125711.784311481,302.77,4401831.99,2942,2753,2.158633069860371,1650,1557,93,93,1243,24,969,10858.90243079,12676.163078710548
6698375.769407668,292.58,999740.28,2398,2321,1.6642089162581788,1151,1108,43,43,918,24,902,15488.27412007,7405.894207934881
9383386.532265807,302.77,856064.19,2818,2577,2.166968383211533,1413,1331,82,82,1069,26,1022,15789.58544445,15202.212066088718
9679887.00936101,303.95,1494259.81,3721,3230,2.395568342341589,1952,1812,140,138,1384,25,1169,14877.9398472,16969.0317249698
12048107.08836259,296.81,1779607.75,4464,3634,2.5409387821302754,1959,1733,226,226,1377,27,1581,19754.90003635,20837.085032760166
12509367.209070625,291.81,1617801.61,3616,3253,2.2174847385847056,1398,1313,85,83,1108,28,1621,21658.86595822,21209.32638978255
11471118.464161422,291.68,2157802.46,3432,3111,2.223343989351086,1499,1320,179,177,1136,25,1524,18735.85502269,20591.89615723808
8150676.902302428,294.99,4021382.08,3330,2815,1.9346835139581935,3127,1231,1896,1896,974,29,1330,12215.7500994,15414.59975077264
7426639.437331087,308.33,2362085.46,2742,2533,1.856330880549721,1898,1133,765,765,936,28,1224,13509.33029068,10577.32828075673
5280356.927036902,311.26,2122448.45,2747,2580,1.9728805352225511,1690,1356,334,334,1078,26,1067,10420.99963386,6543.457498559529
9486644.278073886,309.49,1153169.91,3646,2760,2.1831605948026067,1492,1369,123,123,1070,26,1177,15352.83870807,15299.667925662548
9781807.375625778,296.95,1820674.44,2907,2437,1.9928904750978658,1566,1390,176,176,1104,25,939,15266.85739461,17674.066584597873
7394622.816601552,298.46,667475.54,3165,2876,2.000925191963545,1442,1291,151,150,1064,25,1377,14334.38769962,10441.538108198643
12334137.081290193,302.86,2694722.38,2947,2530,1.8974735581425217,1300,1157,143,143,984,29,1199,18549.9812947,22175.558827106088
10015361.059855852,302.89,1525241.76,2805,2492,1.875320224824392,1322,1218,104,104,947,27,1140,17944.28819956,15121.712856453252
14582805.44693016,336.83,1297298.4,4027,3355,2.541365766805261,1994,1381,613,613,1104,31,1710,22756.67938957,20537.580168456785
10791663.124636648,338.81,2885225.64,2960,2610,1.946117683948561,1145,1135,10,10,956,30,1303,13073.47557529,18778.19091813301
10144090.270570012,336.58,3164883.22,3096,2792,2.2577089714145724,1282,1259,23,23,1054,29,1319,14624.58054701,15514.139134997287
7809094.429811456,334.23,2889982.48,2719,2469,1.3225159445989005,1354,1283,71,71,1061,28,1031,12059.74321354,11304.689751219166
8470879.136938702,316.14,4205312.37,2853,2529,0.8908984466644393,1431,1342,89,89,1134,35,1038,11588.473752299999,15206.234721599862
5005716.097877223,313.54,2073581.83,2540,2463,0.9346290496348442,1393,1322,71,71,1077,35,1041,11326.4148897,4638.744572815861
9587206.973142691,307.41,2856139.4099999997,3360,2917,1.0180598171188318,1763,1577,186,186,1244,31,1109,14254.24673544,16932.790033509256
7629268.32857474,303.08,387956.04,2872,2801,0.7787287183034751,1789,1436,353,353,1154,31,1118,16073.02839775,9099.428803565626
11629436.039859217,299.55,1951462.36,2752,2260,0.6951928758318324,1327,1315,12,10,1037,30,829,16793.86232772,22029.15900380801
6796666.216713832,294.03,2184731.31,2597,1991,0.4034483694338123,1178,1052,126,126,891,30,815,11099.74797179,12015.805600001424
