transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,unique_outgoing_address
2608.548,258.4,4,3,0.01005,0.000273,3,0,3,1,0,2
0.0,270.7,0,0,0.0,0.0,0,0,0,0,0,0
297.6677485,283.0,2,2,0.000892962010857,0.0,0,0,0,0,0,2
920.5500233376,283.56,2,2,0.000913698785328,0.0,0,0,0,0,0,2
0.0,273.25,0,0,0.0,0.0,0,0,0,0,0,0
188.00209999999998,262.94,1,1,0.000441,0.0,0,0,0,0,0,1
4.2863771999999996,286.14,2,2,0.001861432759444178,0.0,1,1,0,0,1,2
10296.746623797033,282.6,46,41,0.018292581,0.0022050000105,5,0,5,5,0,39
197.5763,294.89,57,57,0.040927960749202116,0.0,57,23,34,34,18,43
211.77026112,288.64,11,11,0.0106201972339496,0.0,8,7,1,1,7,8
0.0,309.97,12,12,0.011045957,0.0,12,12,0,0,11,8
72.6648,302.77,25,25,0.019073710608500764,0.0,26,13,13,13,9,18
174.8007477542,292.58,8,8,0.005991186932446936,0.0,5,5,0,0,3,4
16732.61629190994,302.77,23,18,0.01510756764227746,0.00245419022247,9,9,0,0,6,11
6638.8999819585,303.95,25,25,0.011411932034959,0.0,12,4,8,8,3,12
1476.5902416209,296.81,10,10,0.007027159997538,0.0,9,5,4,4,4,9
4323.9713247327,291.81,18,18,0.012346663208507748,0.0,9,9,0,0,5,12
14967.048999330384,291.68,23,18,0.01261497564800088,0.002449424215707,12,9,3,3,9,13
3397.2810109779,294.99,20,20,0.011758901242851,0.0,8,6,2,2,6,11
55711.63801292871,308.33,58,48,0.028933969013586268,0.004410000021,31,11,20,20,8,32
84036.65995540784,311.26,81,56,0.03306974948999656,0.01122248622243,18,13,5,5,10,28
24289.221110304454,309.49,65,55,0.03261129223528028,0.004609888996965,30,18,12,12,13,36
9347.73094889639,296.95,30,20,0.017738421992625174,0.006280312521,13,13,0,0,12,11
27891.388193884195,298.46,52,37,0.02298232331952003,0.0066150000315,21,15,6,6,12,20
29023.34092677709,302.86,79,64,0.03736416555112341,0.007326959177265,74,15,59,59,13,51
29584.136170661055,302.89,57,42,0.028588798207699436,0.007696704577485,22,14,8,8,13,28
53404.12951169339,336.83,51,41,0.03147451729835755,0.005040000021105,17,16,1,1,13,26
44830.29564147263,338.81,43,28,0.017636268809222404,0.0068250000315,16,5,11,11,4,20
70529.49012134658,336.58,66,46,0.033605901533549,0.009045750042,32,20,12,12,18,31
189360.42535926477,334.23,98,83,0.04164013488248955,0.0053550000315,61,30,31,29,24,54
307435.18138038594,316.14,50,40,0.011726568635919187,0.001795500161385,10,10,0,0,10,29
100636.32643250427,313.54,64,54,0.01923078892992,0.000955500021,31,22,9,9,12,34
217685.8571712536,307.41,80,70,0.020038114128624256,0.000897750021,51,33,18,18,28,40
574840.4418074295,303.08,123,83,0.021060568675036282,0.008610000084,45,27,18,18,19,48
270999.98164245766,299.55,163,131,0.03514452369666,0.006067425123354,76,29,47,47,27,85
127968.42245407161,294.03,122,102,0.020727391473720713,0.002436000042,48,40,8,8,34,59
486193.8433591796,285.27,219,139,0.04704287745038023,0.01479219016821,55,42,13,13,35,72
586374.868698127,296.5,251,206,0.06786769354822508,0.009681000094647,111,77,34,34,56,109
1626474.4587514787,296.35,682,337,0.057010307949293314,0.053130000756315,219,69,150,149,61,218
1147611.8440863867,295.54,437,392,0.07129636129976424,0.0050400000945,161,74,87,87,67,223
853136.9346672171,296.36,561,306,0.0520572789143455,0.0323014130586,207,74,133,133,62,197
1603456.5291478813,293.35,986,746,0.08955129820439513,0.022074651977112,407,106,301,298,84,479
1200938.8510804228,304.04,902,797,0.08904214510622518,0.0076062002226,205,146,59,58,117,444
606345.5560424642,306.8,956,866,0.1860438907574748,0.019194000189,451,267,184,183,209,476
1100086.4437792636,303.64,592,562,0.14632613415614795,0.005355000063315,179,147,32,32,129,311
1076304.3897970745,289.42,1034,734,0.23488569337315024,0.077016450659925,314,174,140,140,142,394
862907.1038371405,284.92,1663,963,0.370180677215084,0.23727690147,1048,168,880,863,139,674
677529.6590159991,304.51,665,565,0.18172160925967762,0.012201000252,367,266,101,99,213,261
176001.16839396002,300.04,359,359,0.07378297301514543,0.0,137,137,0,0,111,187
404413.9762171181,296.23,348,298,0.048206740886991145,0.008400000105,128,124,4,4,101,149
625537.8212035657,296.82,648,498,0.08405731125464574,0.00420002352,313,162,151,150,135,305
169007.21025024,291.84,394,394,0.09676565922193185,0.0,182,182,0,0,156,198
1060779.1511145332,307.35,833,733,0.28458299462770786,0.0183750002499,405,235,170,170,207,428
1289063.7873925432,319.66,998,798,0.3722019287111683,0.07152600042,542,264,278,278,235,481
547373.0382242276,296.86,635,535,0.19955471688909066,0.0360885002184,260,155,105,103,134,335
750763.9577637803,314.23,614,514,0.21788862347509402,0.04200000021,242,147,95,95,121,300
1216721.85677927,306.02,904,704,0.37834205300007323,0.08366400042,369,183,186,186,147,420
2841308.4267683234,314.6,1533,681,0.3517481460304452,0.33243000208005,331,287,44,44,178,306
1162045.4804343472,334.72,1595,1145,0.5666781050761773,0.185631600945,972,297,675,672,196,767
1130989.4442751221,331.2,1626,1026,0.5102159489471845,0.25000500126,617,284,333,332,200,685
1071127.3129527592,330.32,1044,744,0.3096104491957211,0.12600000063,404,299,105,105,232,384
808952.8394839673,331.72,771,621,0.25081916037619606,0.037800000315,253,231,22,22,187,324
