transaction_amount_usd,account_balance,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,unique_incoming_address,ether_recv_in
16066095.339594048,49363.13769022199,1255,839,416,0.35340816,0,0,0,0,0,0,696,342,22450.378387926994
1177291.6508695355,261033.55732917335,140,43,97,0.054506666666655,0,0,0,0,0,0,42,74,3222.643745618
15014577.836277707,41473.10786114,1929,1603,326,1.886564004,0,0,0,0,0,0,1273,264,18031.732429304
15289300.659685457,27386.730919482998,1106,816,290,0.48095544,0,0,0,0,0,0,689,207,19657.8471043
7577781.558596993,23164.994872951,1180,878,302,0.6609114199999999,0,0,0,0,0,0,763,256,10330.819164888
11608861.478012268,10653.492365641,1075,909,166,1.3122838559999999,0,0,0,0,0,0,710,142,16083.74368521
9077340.286587477,14350.977290387,972,735,237,1.06038962,0,0,0,0,0,0,552,194,16719.896975605
15375829.540666647,364.75084743,907,753,154,1.07870542,0,0,0,0,0,0,446,142,23105.329139102
16847158.187867578,4832.103507861,853,680,173,0.984214728,0,0,0,0,0,0,455,162,28693.391437281
21628732.330378946,256589.58492767633,754,588,166,0.847386216,0,0,0,0,0,0,412,146,55158.483405937004
11486518.86099539,7645.129904908999,748,558,190,0.8083735959999999,0,0,0,0,0,0,406,168,19411.759264162
4003389.870928083,5969.4660010689995,575,405,170,0.579732504,0,0,0,0,0,0,326,155,7862.019879303
22159084.2390499,293001.9162912343,743,545,198,0.790223988,0,0,0,0,0,0,378,175,56435.614547639
20962583.307273287,341141.50335280126,918,674,244,0.971160088,0,0,0,0,0,0,517,217,61980.156611777005
7871605.236265021,340248.4577335213,761,562,199,0.716914177,0,0,0,0,0,0,432,170,16169.874886694
9158254.31906049,5984.3826156370005,733,504,229,0.436566237,0,0,0,0,0,0,370,184,17745.816615265
6648585.24792618,6758.537816344,678,437,241,0.382127708,0,0,0,0,0,0,363,191,12890.249798415
5590915.353007464,5549.229512604,654,471,183,0.409673722,0,0,0,0,0,0,373,155,10997.848669982
3456971.103395597,5849.618195285,500,298,202,0.257382666,0,0,0,0,0,0,239,184,7186.125335347
2695679.221807703,5913.389430661,473,297,176,0.260301456,0,0,0,0,0,0,255,157,5701.877836832
7777749.94663382,5627.879393424,592,332,260,0.28749856,0,0,0,0,0,0,258,210,18757.442061323
5412595.784789952,12894.846530351999,695,439,256,0.380948876,0,0,0,0,0,0,328,203,17836.234485804
8724301.102821175,2900.063556673,734,522,212,0.45250962,0,0,0,0,0,0,355,188,14463.689335941
35471338.16174182,458177.44456287933,650,442,208,0.388319446,0,0,0,0,0,0,336,186,147872.254568618
8485924.059809683,462169.09163145535,601,403,198,0.35110678,0,0,0,0,0,0,298,175,23518.582175356
10102044.162549647,18839.212366296,645,438,207,0.389377492,0,0,0,0,0,0,285,163,32006.700597869
8232024.6770643825,2222.533118757,768,515,253,0.451226525,0,0,0,0,0,0,305,193,19928.826308484
12812868.127708562,4445.248179959,803,571,232,0.496740215,0,0,0,0,0,0,362,190,33155.548334919
14475841.889390476,1660.4622909690002,789,548,241,0.477262837,0,0,0,0,0,0,351,190,30881.278357345
13938985.749073556,6195.3124396309995,747,416,331,0.359625514,0,0,0,0,0,0,289,236,38117.061574176
15490355.868883228,2602.8957031329996,772,522,250,0.455466704,0,0,0,0,0,0,316,201,32200.282503328
9045236.056091363,6454.370038635,673,414,259,0.363480908,0,0,0,0,0,0,291,215,22855.992382288
5644233.041409686,6168.036207081,510,291,219,0.25490561,0,0,0,0,0,0,216,193,12102.009874056
9401795.755152669,6778.07850575,616,398,218,0.35109776,0,0,0,0,0,0,306,181,20894.272896429
7434932.6585176885,6325.962439994,477,267,210,0.232105838,0,0,0,0,0,0,226,181,16260.958540082
6383846.156763716,6792.726920927,670,409,261,0.357215534,0,0,0,0,0,0,308,210,15911.752696467
6075485.282346115,4986.440545343001,624,420,204,0.366691249,0,0,0,0,0,0,321,184,14070.140715665
5048106.8887927765,6076.050942536,495,274,221,0.23918785,0,0,0,0,0,0,218,194,12982.974585043
6743255.993003041,8857.248396594001,566,324,242,0.283555016,0,0,0,0,0,0,244,184,19023.855909074002
6030241.945592593,5943.1676539360005,551,335,216,0.293322364,0,0,0,0,0,0,223,186,13169.675479705998
4972234.802943959,7689.6504376620005,452,248,204,0.213847964,0,0,0,0,0,0,174,180,13507.342631689999
6916262.061033538,5213.21731347,532,332,200,0.288485348,0,0,0,0,0,0,233,179,15938.359561156
24749535.709826395,2645.674491538,1035,808,227,0.70211926,0,0,0,0,0,0,414,193,53496.428497328
17711336.339178894,6199.884046495999,663,411,252,0.357597695,0,0,0,0,0,0,283,214,42370.831477952
16926735.97398804,431165.35139234265,582,356,226,0.309147350666655,0,0,0,0,0,0,272,198,23016.782134565
8737429.988723742,5138.049607047,565,321,244,0.277830432,0,0,0,0,0,0,258,203,18982.537611803
