transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
7777749.94663382,205.76,1157992.47,0.22386,19042.6646
5412595.784789952,190.55,2457113.01,0.220416,10568.8864
8724301.102821175,224.15,650049.24,0.182532,24458.0198
35471338.16174182,205.41,94114228.89,0.17908800000000002,24813.2922
8485924.059809683,197.14,91112014.72999999,0.17047800000000002,19526.584000000003
10102044.162549647,169.1,3185710.8099999996,0.178227,27733.3595
8232024.6770643825,155.42,345426.08999999997,0.217833,33037.48869
12812868.127708562,189.97,844463.8,0.19975199999999999,34291.2492
14475841.889390476,227.09,377074.38,0.207501,32863.6769
13938985.749073556,194.41,1204430.69,0.284991,33581.851800000004
15490355.868883228,226.33,589113.38,0.21525,36241.1785
9045236.056091363,216.33,1396273.87,0.222999,18956.2207
5644233.041409686,230.47,1421547.3,0.18855899999999998,12388.0888
9401795.755152669,228.32,1547570.89,0.187698,20283.8795
7434932.6585176885,225.48,1426378.01,0.18081000000000003,16712.8425
6383846.156763716,203.59,1382931.28,0.224721,15444.631
6075485.282346115,202.88,1011649.06,0.17564400000000002,15876.0604
5048106.8887927765,202.93,1233013.01,0.190281,11893.125
6743255.993003041,191.21,1693594.47,0.208362,16242.3749
6030241.945592593,206.14,1225124.58,0.185976,16083.4629
4972234.802943959,196.78,1513169.4100000001,0.175644,11760.646
6916262.061033538,201.33,1049577.04,0.1722,18414.5042
24749535.709826395,225.9,597657.8700000001,0.19544699999999998,56063.2692
17711336.339178894,218.12,1352318.71,0.216552,38829.1334
16926735.97398804,224.39,96749193.19,0.19458599999999998,52417.6667
8737429.988723742,220.6,1133453.74,0.210084,20625.0326
11959064.440688828,253.09,1722030.51,0.22256691866892,22792.9129
12952544.474015746,264.56,1395656.95,0.192003,25243.499499
10852781.491681736,269.94,1610288.44,0.188559,19757.0184
14656539.829860171,296.51,1907651.23,0.205779,24480.6128
14729407.738763409,295.28,1613181.81,0.246246,25426.3883
11679217.378270783,298.28,2055476.05,0.19286399999999998,18863.4089
