transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
1904134402.818403,3718.99,111126,107153,3973,644.399733806,16.15501187622,36094,27408,24725,73149,246371.7776950421,265631.32067801163
1319247626.1294532,4087.02,120285,116191,4094,514.4950893360001,12.105307199999999,37298,28933,26368,80708,163381.5872174884,159408.03116692204
605508987.7168589,3644.04,112625,108672,3953,351.690944668,8.54945574,33502,25787,23546,76926,82765.34769597376,83398.85130207754
765365342.7011758,3586.18,94062,90038,4024,261.620051436,7.3294891556271,29715,22427,20245,63150,108806.19940925941,104614.58334597759
1039752831.1841769,3280.73,93938,89798,4140,295.14461077399994,9.097667099999999,31309,22799,20690,62649,162207.15131622693,154720.1274248389
950485790.5008264,3377.65,104297,100362,3935,311.16501337399995,7.7821516500336845,35779,27523,24681,68384,141703.3629996164,139701.1017912371
2124959564.995067,2442.89,89636,84539,5097,810.77929041,40.919273010000005,31595,24452,22556,53279,434411.83414059586,435442.9546526233
2555873156.6904707,2772.84,92006,90100,1906,425.594518438,7.498474200025935,34106,27111,24392,58475,454109.86169319425,467642.9825713397
902830868.2435308,2435.86,86447,84981,1466,391.8869352859999,3.681566700033684,31382,25050,22494,56102,191676.68696612163,178964.83932994245
699267247.9084804,2297.03,72231,70417,1814,131.01458601599998,2.119278000033684,26772,20309,18332,46982,146528.89434460728,157893.4457678337
636485372.9322639,2098.57,73076,71071,2005,420.52842877699993,5.3221749,28567,21404,19101,45502,151402.5537396306,151892.24840290638
1433497643.5917435,2648.77,78619,77088,1531,186.479205222,2.2017429,29788,22865,20357,50364,261967.03157161386,279226.67101175257
1291242364.3445327,2707.49,80225,77338,2887,133.864472184,3.2022942000000003,29403,21765,19568,52281,239253.5521216307,237661.3632961669
710750980.6572509,2888.94,86488,83600,2888,141.577812359,3.04601373864375,33622,25283,22676,54412,135311.5495140707,110713.28335101162
849280577.1980412,2742.48,80854,77964,2890,100.97253594700001,2.411361300032832,27782,20419,18176,53880,148459.29220773163,161216.83202947018
641800558.3925208,2412.36,88986,86088,2898,113.969016443,2.5383959999999997,29069,22062,19801,59023,140340.2796837801,125706.47884003923
457355265.4702819,2278.58,87316,84449,2867,87.064435599,1.9791702,26913,18400,16606,60876,99943.31911444737,100776.10503141624
478754780.953701,2386.91,66847,63959,2888,53.542666884,1.64080077,22203,15352,13808,45160,99481.41040025475,101093.7185127336
433848995.4654111,2707.38,68900,66021,2879,66.77074590000001,1.883406,22896,15994,14387,46566,74683.8395838559,85562.96561726516
396358278.6106388,2634.23,68305,65888,2417,63.721273589,1.43134425,23398,16415,14912,46264,79328.40962055959,71136.15824581459
594213639.4825056,2706.52,74848,72310,2538,76.520774683,1.7037696900000001,25992,19217,17468,49541,112166.8346942126,107382.12096933524
756546229.0871189,2856.01,80089,77192,2897,82.590636588,2.048206875032808,26309,19790,17939,53924,131866.79371956433,133029.41780879826
765716885.3724679,2691.17,73875,70988,2887,68.496889513,1.753164,26931,19739,17715,47958,134529.96334458326,149999.39948737004
195004979.34339836,2629.76,68018,65129,2889,40.858101270000006,1.2162066,24789,17057,15642,45277,43549.418464940005,30603.72834062337
210181565.30692974,2710.99,60705,57814,2891,29.902012575999997,1.0049024118,22335,14084,12904,41182,33140.355386579,44389.09522258214
295270544.2783665,2593.12,62968,60081,2887,47.58414395,1.377558,21982,15920,14376,41258,62720.647712136015,51146.25558519174
1555854385.7162852,2509.23,71179,68284,2895,78.69177183699999,1.85453037,27103,19858,17918,45079,114642.1606407694,505410.35974049714
1393543383.723476,2610.64,64528,61645,2883,51.842164790000005,1.4832720000000001,23336,16974,15449,41946,457761.48778128123,76032.28835157352
372524867.0200461,2471.56,66448,63576,2872,52.218946126,1.26476364,26195,19500,17993,41514,71847.97880851936,78876.6109323917
323627413.09849083,2355.09,69464,66589,2875,58.565086576000006,1.471128561,27215,19205,17407,44676,71071.10025609602,66345.05500696859
199936777.91327083,2369.62,65202,62322,2880,41.816986582,1.1638641,23854,16515,15080,42999,46670.02547228892,37705.012682888206
309930750.968114,2509.7,56011,53274,2737,28.181923564999998,0.854406,21626,13389,12087,37530,57996.88906458918,65496.25791238577
432398659.1623008,2582.12,62100,59297,2803,45.385578468,1.2071362799999998,23445,16283,14805,40386,80538.74047056909,86920.03726334756
539120748.8183122,2543.6,75933,73147,2786,56.80000034,1.248604200000003,28347,20612,18687,49590,105913.2973803506,106038.56172419108
401841592.2219093,2367.7,74541,71746,2795,61.963028932,1.23018,29297,21838,20017,46994,86518.16218597833,83199.95760196327
