transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_tranfers,inbound_transfers,unique_address_recv,token_contracts_count,unique_outgoing_address,unique_incoming_address
3359971.9403641117,2.77,697,0,697,0.0,10.863518880303156,0,0,0,0,0,374
513919.02328713646,0.81,234,0,234,0.0,5.227196354430191,0,0,0,0,0,149
261353.95737188892,0.74,250,95,155,0.11395461400512,3.835683885716354,0,0,0,0,78,101
400681.4825328946,0.68,262,103,159,0.13979834204800357,4.210228533308593,0,0,0,0,75,97
191584.28292310605,1.06,172,75,97,0.090443465141883,1.4886202569449483,0,0,0,0,57,75
359295.83019745466,1.25,167,57,110,0.068615163849057,2.0757057841398514,0,0,0,0,49,80
879899.6649863455,1.78,360,174,186,0.209794123442442,5.395498675180676,0,0,0,0,125,106
1576887.8751678497,1.8,436,210,226,0.25214111287113,5.180167547388729,0,0,0,0,129,147
836606.3192521634,1.79,229,130,99,0.157031500985415,2.1324276434577283,0,0,0,0,89,64
521682.9151735184,1.37,153,85,68,0.102590821315164,1.4058662295560242,0,0,0,0,57,48
268009.73845808516,1.2,148,82,66,0.099398777117241,1.6633573197158809,0,0,0,0,68,51
210977.62508050082,1.27,120,59,61,0.070867678509978,1.0871745760275253,0,0,0,0,43,43
256156.60555909897,1.26,108,47,61,0.056411603821293,0.9158824599795814,0,0,0,0,33,40
103568.35804339763,1.48,71,32,39,0.036968381606226,0.8158923259144041,0,0,0,0,26,31
246999.6692885219,1.44,132,96,36,0.115889537411319,0.6207873326571623,0,0,0,0,65,28
103892.86486883051,1.39,81,47,34,0.056927802333612,1.045969259324718,0,0,0,0,39,25
128885.44316794997,1.35,83,61,22,0.074448438952188,0.8406715643894219,0,0,0,0,32,16
133117.21972378125,1.24,92,67,25,0.080850824747931,0.390860749891575,0,0,0,0,36,16
80488.29667878615,1.17,68,44,24,0.052995649496601,0.31591109591137384,0,0,0,0,26,17
131750.00417224673,1.16,57,36,21,0.043605773176287,0.16835509544017452,0,0,0,0,25,14
59842.253259935125,1.13,68,46,22,0.05527374796419,0.3637866026318882,0,0,0,0,21,18
84131.59057128099,1.3,73,52,21,0.06330358882554,0.4105338721747626,0,0,0,0,32,19
29147.416787749236,1.18,42,31,11,0.037219316498679,0.08460683853276799,0,0,0,0,15,9
81449.55557660025,1.32,55,33,22,0.039664279665528,0.2667108228450829,0,0,0,0,21,19
117363.78730345759,1.35,71,55,16,0.06676745191536,0.2597471644026065,0,0,0,0,33,14
124291.5956508722,1.35,56,32,24,0.038665169050788,0.46243489123113735,0,0,0,0,25,21
55119.96546438256,1.29,26,18,8,0.020880557957028,0.05709435902184533,0,0,0,0,15,8
13838.172017039999,1.26,26,14,12,0.0147,0.061638179978834244,0,0,0,0,14,9
103408.7620931639,1.27,38,15,23,0.015846284999979,0.5542266850035192,0,0,0,0,12,21
34477.83906889147,1.37,43,28,15,0.0294,0.21041897763957632,0,0,0,0,21,11
52052.26797921267,1.3,46,23,23,0.02415,0.33997483364199466,0,0,0,0,16,18
