transaction_amount_usd,account_balance,transaction_count_recv,unique_incoming_address
79854282.93039885,109913.31750187166,14412,14372
42603212.55089472,104855.62697871517,2377,2276
49832874.70075361,25280.251999181717,3102,2921
74744175.59957346,18.454525813721958,4194,3973
128092812.87804566,65587.2987023362,2847,2781
66210596.88636532,62515.6717974302,4133,4086
61619493.14483069,76457.0678789928,2922,2782
43477013.14236656,66005.48469886293,2194,2099
47698857.29800436,21489.80845169148,1564,1433
148329006.89967877,111466.63634307329,6348,5444
124994067.97370704,114985.85393306575,4326,3693
326244844.7017193,57211.48928520438,7282,6042
208877665.67421106,68853.25502398705,2566,2266
124082886.44907305,44427.15764115835,2389,2208
136180140.94138595,40268.51182264088,3238,2821
233219942.45208538,100348.80936092537,7606,6698
309815968.7196832,95976.9410148177,9390,7952
364293183.3603523,91629.05796919225,10791,9941
254534554.9549426,108105.14402783447,8796,7582
367091202.76825774,230540.7152568635,61689,60007
195894555.12741065,169891.76907268024,25630,24352
146056642.8041772,216797.96000890573,8174,6887
175484653.03329384,179873.0608335755,7458,5890
175645522.44183087,135939.2851427947,8202,7044
172776265.10000888,93635.2260495933,9053,8057
262516622.3001028,107699.3554332873,17887,16667
245572421.83250952,111130.50586003625,46232,44392
554520382.8459687,276615.28043143754,45000,42994
182688375.34423015,249598.66563779116,11880,10533
323335605.1397374,305157.5129914448,25098,23267
288721676.5352276,288798.15806063294,17118,14857
318637149.7278747,89657.54317226078,22614,20478
699105310.0839761,400898.55404007225,52218,49153
341141975.3861303,410964.61253718386,26501,24455
311862914.48838323,333284.1646131991,19612,18638
942118318.2847271,314300.2460957868,20391,18564
1078524539.1270056,345735.7221191666,21232,19185
1033748656.559863,493171.41495950404,43373,41366
894692038.2448097,500863.1634114475,20019,17980
1118635347.9374537,526259.8762672232,28883,27508
657830525.6687194,466791.0448071911,15211,14389
616126538.430965,420147.36225918005,14289,13568
453817951.75547224,363803.19933663635,6918,6266
828753967.53523,423413.5802317653,110818,110216
672222672.7030125,370158.74972351105,77055,75767
1159927718.9593017,576802.8564009345,88195,87098
