transaction_amount_usd,account_balance,transaction_count_recv,token_contracts_count,unique_incoming_address,ether_sent_out,ether_recv_in
2608.548,9.89495,1,1,1,0.095,10.0
0.0,9.36858876899457,0,0,0,0.0,0.0
297.6677485,8.842227537989142,0,0,0,1.0518295,0.0
920.5500233376,5.594910879203815,0,0,0,3.24640296,0.0
0.0,5.237190379203815,0,0,0,0.0,0.0
188.00209999999998,4.879469879203815,0,0,0,0.715,0.0
4.2863771999999996,4.862628446444371,0,1,0,0.01498,0.0
10296.746623797033,30.45969886543387,5,3,5,5.4102,31.0255629999895
197.5763,29.74877090468467,0,9,0,0.67,0.0
211.77026112,29.00446770745072,0,4,0,0.733683,0.0
0.0,28.993421750450718,0,8,0,0.0,0.0
72.6648,28.734348039842217,0,6,0,0.24,0.0
174.8007477542,28.130910862909772,0,2,0,0.59744599,0.0
16732.61629190994,65.99576442504502,5,4,5,8.69257268,46.57253380977753
6638.8999819585,44.14227326301007,0,4,0,21.84207923,0.0
1476.5902416209,39.160379213012526,0,5,0,4.97486689,0.0
4323.9713247327,24.330269879804018,0,5,0,14.81776267,0.0
14967.048999330384,43.530198944679825,5,6,5,16.05035339,35.26289743052381
3397.2810109779,32.001842833436974,0,5,0,11.51659721,0.0
55711.63801292871,48.51391626740239,10,6,10,82.07366977,98.614677172979
84036.65995540784,60.573669986074826,25,5,25,128.94790163,141.04072509816243
24289.221110304454,37.852940564509524,10,7,10,50.58477946,27.89666133066998
9347.73094889639,52.0698515199959,10,5,10,8.62224586,22.856895237479
27891.388193884195,51.78273027664488,15,4,15,46.85757404,46.5934351199685
29023.34092677709,69.99994622515005,15,9,15,38.78815095,57.0427310640563
29584.136170661055,69.12417286981487,15,7,15,49.26002823,48.41284367287251
53404.12951169339,81.43105376249541,10,8,10,73.10542597,85.4437813799789
44830.29564147263,89.16920348365468,15,5,15,62.28056697,70.0363529599685
70529.49012134658,257.8182459111323,20,7,19,20.4324148,189.11506312901116
189360.42535926477,610.5841415862183,15,10,15,106.87485065,459.6823864599685
307435.18138038594,480.18412274742104,10,7,10,551.42679841,421.0385061398386
100636.32643250427,602.6549230892708,10,8,10,99.23901587,221.7290470007797
217685.8571712536,1181.089815924271,10,10,10,64.83690649,643.291837439129
574840.4418074295,584.2156065056397,40,10,38,1246.75777709,649.9046282400436
270999.98164245766,842.6043511648728,32,11,31,323.13320921,581.5570983929298
127968.42245407161,973.9269923723571,20,10,20,151.939482,283.282850598958
486193.8433591796,945.8698023538813,80,12,76,866.169415,838.1592678589745
586374.868698127,579.7951583302385,45,11,42,1171.83116,805.8243836699054
1626474.4587514787,1285.1478636868019,345,12,338,2391.473409,3096.8831246645127
1147611.8440863867,224.30397192706798,45,11,45,2471.937093,1411.1644976015657
853136.9346672171,1888.9232127305431,255,13,249,607.023466,2271.6947640823896
1603456.5291478813,3312.0526368394667,240,13,228,2021.399766,3444.6187414071283
1200938.8510804228,2819.85230911438,105,13,99,2221.024152,1728.9128664200193
606345.5560424642,2586.8696543685514,90,13,87,1104.575548,871.7789371449289
1100086.4437792636,338.65509716254627,30,13,30,2935.532014,687.4637829281509
1076304.3897970745,397.06350526889145,300,14,293,1830.094409,1888.7377027997184
862907.1038371405,1199.3116483306223,700,14,697,1112.988016,1915.606339738946
677529.6590159991,1613.2722941111333,100,15,100,905.420457,1319.5628243897706
176001.16839396002,1026.6061621381182,0,13,0,586.592349,0.0
404413.9762171181,1379.1140012393225,50,15,50,506.32329399,858.8793398320913
625537.8212035657,1562.1364302058892,150,15,150,962.17935777,1145.2858440478212
169007.21025024,982.9305285466672,0,14,0,579.109136,0.0
1060779.1511145332,1516.9216407445142,100,16,99,1458.54809858,1992.8237937724748
1289063.7873925432,1903.4373434615618,200,18,195,1822.860539,2209.7484436457585
547373.0382242276,1898.3790486046323,100,20,100,924.367385,919.5086448599595
750763.9577637803,1529.8093082305293,100,17,100,1378.784903,1010.433051249372
1216721.85677927,892.5891060475707,200,19,196,2306.398606,1669.5567458700416
2841308.4267683234,2642.1491630290775,852,18,826,3640.791756,5390.703561127537
1162045.4804343472,364.10010838225634,450,22,439,1874.588285,1597.1059084582548
1130989.4442751221,618.2350197470844,600,21,582,1580.089037,1834.7341643137752
1071127.3129527592,913.1123411815144,300,22,290,1473.754489,1768.9414208836256
808952.8394839673,407.37321481447947,150,23,150,1472.074974,966.5866667933414
4659937.765297757,952.5697473175629,329,24,322,6448.680061453416,6994.09439490821
805589.6759129422,803.9347538473826,105,26,97,1210.114817,1061.7116802164187
1057278.186617332,667.6552415775755,315,26,293,1505.558559,1369.7458564832125
767186.1121739249,639.0946659905186,375,25,331,1078.101637,1049.8971208329217
742970.939303908,333.83406158516607,380,25,329,1127.867417,823.0068065687116
945230.0641637117,248.7049551665391,430,27,387,1204.846264,1120.0425968694976
739707.3493858096,355.3350101697711,425,24,397,732.77870851,839.6281307345415
604924.6970616984,478.0682881349976,325,25,294,589.53576221,712.469569275974
637921.9882257251,635.3074517367095,80,25,74,599.129613,756.593573606293
804174.0048945079,519.9346325550341,185,26,164,903.59308306,788.5498445018802
1274612.991602436,76.668882126309,375,25,349,1588.27392054,1145.3632244670475
597482.6265614082,79.93261114670388,415,25,385,697.10683897,700.7749320313759
540565.9405556985,127.31012656191486,490,27,473,597.72413537,645.3848460159916
698855.845546297,289.1481105603711,692,28,652,675.972989,838.0784117242451
771867.6222167192,472.1110215970851,175,29,150,751.115802,934.3318838605977
869626.6957437394,506.84444270970897,152,28,134,921.995388,957.0191011937067
1090698.6865450987,202.23563442168933,91,29,72,1320.05413766,1015.8392222549738
1147476.7869377576,81.10287633209595,161,29,152,1323.86642809,1203.8381867169385
974181.6990531287,177.40007762170575,365,32,342,1104.17378649,1201.6908675838702
949504.504112236,292.2034125029594,420,32,406,1069.01441964,1185.5374125153749
773058.0002581661,255.897369200444,433,31,404,872.94512053,838.3445599458624
526433.248270141,223.2623795524747,390,30,378,572.41472874,540.8814863556752
738815.9002050922,333.0521096324161,425,31,402,790.83856113,901.7910528476219
1036806.0377662629,323.3079811880759,350,31,336,1014.34611931,1005.5764152538198
1580559.7504869995,21.88256132386963,410,32,379,1353.30301713,1054.1784769402486
949024.1767692997,76.4420318024964,2706,32,2610,650.93069265,706.5828989752553
1029797.0266932988,336.80176924758337,2917,33,2828,611.29914378,873.4567988557432
971507.830508853,2754.60432025235,515,35,477,500.527999,919.244649967298
1081726.5931981285,2376.6842210323052,200,36,195,968.55543357,592.7606081691403
1689545.445814348,655.9577693074376,400,35,378,1036.91615363,1317.162019746918
2542819.244290147,768.874096636426,401,33,385,1560.51875457,1674.6613931292668
3859384.402123848,3073.9978212449832,422,40,391,2221.6983787500003,2528.313193094735
2126782.412688943,819.5774249283261,87,39,80,1557.02419662,1104.2148547569827
6327869.707431986,297.4101481789733,249,41,224,4267.58300655,3748.5683349060423
7054226.088616991,4048.112035634878,1339,47,1281,4385.24529081,6338.2335542061755
5077311.2754737735,1823.6457793428851,301,40,273,3235.6477502,4013.0977176113374
3989504.8749786634,1451.6777211834194,351,38,323,3136.53599589,2765.8842597337716
6198023.277177425,2021.1316216886416,500,42,451,4000.04501549,4570.941622197621
11690302.401855892,6532.676736111911,1854,47,1738,7001.73245354,8514.994918182712
12290448.0454021,3673.0605967477204,1106,42,961,7233.684417,9376.375919516611
17456386.70700413,5585.176126105057,751,41,636,11221.08111852,13135.874757806063
36986752.88528336,14660.733949618032,2451,43,2113,22964.88268471,27044.24777132482
19040152.343648784,2217.5079006952305,2462,43,2279,14957.25185348,12518.111923268274
20641217.692758612,5053.525511107718,2509,45,2225,12506.09189032,15344.916290105311
28596766.812567696,14819.77809578829,1421,59,1211,19023.93802832,18792.468758995117
39673376.719428174,4379.337071576554,5258,46,4748,21230.69622587,24795.704599481433
29882746.460576367,5862.009426560375,3720,43,3331,15133.39268035,16619.605365103584
41540422.07433544,2551.744961716331,2297,47,2028,23631.98669852,20334.041131179994
40339604.38325129,4046.539060236036,4274,44,4036,20096.46876843,21614.164117791388
33241965.479548227,3657.9374153417507,1843,47,1758,16692.18035856,16338.061272135474
74551618.06489506,11718.352359706429,8000,47,7679,29299.44466746,37398.49142280621
70977257.20118049,13815.22256608484,9001,47,8514,30171.78398457,32302.146533760526
56481366.6422839,21038.958728284033,2501,46,2371,18281.91337635,25527.902206694194
64953326.310752966,11574.970924360248,5501,46,5336,30709.80609931,21294.874731403586
53237350.50082314,12044.910956674916,6446,48,6246,23110.6993322,23616.603357845943
59961065.86429859,15355.164315019512,8487,50,8288,22109.22304028,25440.054823290724
52822983.28715254,14388.023943186567,7485,50,7256,19540.88791636,18597.899456495656
33468742.370830685,14457.270222173547,3994,51,3852,12266.36443934,12352.418014856225
38278060.75302663,23109.01671175537,4494,51,4321,10635.8436713,19299.528274227552
38095413.90308706,37068.46517815415,2498,62,2450,18151.11165401,18121.25319192058
42476351.01075539,12030.890724142399,6487,52,6319,23232.35664741,18220.522770516778
29537102.336092427,6564.176190364792,7988,55,7914,17302.08518679,11856.826070297999
43652123.266406916,4509.519427907776,8316,53,8137,22051.93069649,20028.08324891654
